"bar_index","piano_right_hand","piano_left_hand","violin_1","violin_2"
"91","b''4\staccato e''16 d'' e'' fis'' g'' b'' a'' {<<{\voiceOne g''16} \new Voice {\voiceTwo e''16}>>}","fis8 d8 r8 g16 fis16 e8 cis8","d'''4\staccato e''16 d''16 e''16 fis''16 g''16 b''16 a''16 g''16","a'8 fis' r8 b'4 e''8"
"92","a16 cis' e' a' {<<{\voiceOne a8 a''16 cis'' \grace cis''8 d''4} \new Voice {\voiceTwo a8 cis''8 fis'4}>>}","r4 a4 b4","a16 cis'16 e'16 a'16 a8 a''16 cis''16 \grace cis''8 d''4","r4 a8 cis''8 fis'4"
"93","g'8. b'16 d''16 g'' fis'' a'' g''4","b8 g8 r8 a8 b8 g8","g'8. b'16 d''16 g''16 fis''16 a''16 g''4","g'8 b8 r8 c' d' b"
"94","{<<{\voiceOne cis''16 b' cis'' g' \grace g'8 a'2} \new Voice {\voiceTwo r8. d'16 \grace d'8 cis'2}>>}","a4. e8 a,4","cis''16 (b'16) cis''16\staccato gis'16\staccato \grace gis'8 a'2","b'16 (gis') cis'' \staccato b \staccato  \grace b8 cis'2"
"95","e'16 g' fis'\trill e' b' g' fis'\trill e' e'' g' fis'\trill e'","r8 d'8 d'4 d'4","e'16 gis'16 fis'16\trill e'16 b'16 gis'16\trill fis'16 e'16 e''16 gis'16 fis'16\trill e'16","r2."
"96","d'8. fis'16 a'16 c'' b' d'' c'' e'' d'' fis'","r8 d'8 fis8 g8 a8 c'8","d'8. fis'16 a'16 c''16 b'16 d''16 c''16 e''16 d''16 fis'16","r2."
"97","e'16 gis' b' gis' e' b' d'' b' e' d'' fis'' {<<{\voiceOne d''16} \new Voice {\voiceTwo b'16}>>}","gis4 gis4 gis4","e'16 gis'16 b'16 gis'16 e'16 b'16 d''16 b'16 e'16 d''16 fis''16 d''16","r4 e'16 gis' b' gis' e' b' d'' b'"
"98","{<<{\voiceOne fis''16 e'' fis'' cis'' \grace cis''8 d''2} \new Voice {\voiceTwo d''8. g'16 \grace g'8 fis'2}>>}","d4. a,8 d,4","fis''16 (e''16) fis''16\staccato cis''16\staccato \grace cis''8 d''2","d''16 (cis'') d'' \staccato e' \staccato  \grace e'8 fis'2"
"99","e'8 a4 {<<{\voiceOne e''8 e'' d''} \new Voice {\voiceTwo cis''8 cis'' b'}>>}","a8 cis'16 b16 cis'8 a8 b4","e'8 a4 e''8 e''8\trill d''8","r4. cis''8 cis'' \trill b'"
"100","g'16 b' d'8 (d'16) g' b8 (b16) d' g8","b8. a16 b8 g8 g,8 g8","g'16 b'16 d'8 (d'16) g'16 b8 (b16) d'16 g8","r2."
"101","a''8 d'''8 (d'''16) b'' g'' e'' cis'' e'' a' g''","fis4 g4 a4","a''8 d'''8 (d'''16) b''16 g''16 e''16 cis''16 (e''16) a'16\staccato g''16\staccato","d''16 a' fis' d' b'8.g'16 e'8. e''16"
"102","{<<{\voiceOne e''16 e'' fis'' e'' a'' e'' fis'' e'' \grace e''8 d''4} \new Voice {\voiceTwo cis''16 cis'' d'' cis'' cis'' cis'' d'' cis'' \grace cis''8 b'4}>>}","r4 a4 b4","e''16\staccato e''16 (fis''16 e''16) a''16\staccato e''16 (fis''16 e''16) \grace e''8 d''4","cis''16 cis'' d'' cis'' cis'' cis''16 d'' cis''  \grace cis''8 b'4"
"103","d'8 a4 {<<{\voiceOne fis''8 fis'' e''} \new Voice {\voiceTwo d''8 d'' cis''}>>}","d8 fis16 e16 fis8 d8 a4","d'8 a4 fis''8 fis''8\trill e''8","r4. d''8 d'' \trill cis''"
"104","a'8. cis''16 {<<{\voiceOne e''16 a'' gis'' b'' a''4} \new Voice {\voiceTwo r8 d'8 e' cis'}>>}","cis'8 a8 r8 b8 cis8 a8","a'8. cis''16 e''16 a''16 gis''16 b''16 a''4","a'8 cis'8 r8 d' e' cis'"
"105","d'16 fis' a' d'' d''4. fis'8","r8 d8 fis8 a8 d'8 c'8","d'16 fis'16 a'16 d''16 d''4. fis'8","r2."
"106","e'8. gis'16 b'16 d'' cis'' e'' d'' fis'' e'' gis'","r8 e'8 gis8 a8 b8 d'8","e'8. gis'16 b'16 (d''16) cis''16 (e''16) d''16 (fis''16) e''16\staccato gis'16\staccato","r2."
"107","d''16 e'' d'' cis'' b' a' g' fis' e'8 {<<{\voiceOne d''8} \new Voice {\voiceTwo b'8}>>}","gis4 r8 b8 gis8 e8","d''16 e''16 d''16 cis''16 b'16 a'16 gis'16 fis'16 e'8 d''8","b'16 cis'' b' a' gis' fis' e'4 gis'8"
"108","g'16 b' d'' g'' g''8 d'' b' g'","b8 g8 b8 d'8 b8 g8","g'16 b'16 d''16 g''16 g''8 d''8 b'8 g'8","r2."
"109","g'16 b' d'' g'' b'' g'' d'' b' g' d' b g","b8 g8 r8 g,8 b,8 g,8","g'16 b'16 d''16 g''16 b''16 g''16 d''16 b'16 g'16 d'16 b16 g16","r2."
"110","{<<{\voiceOne fis'16 d'' cis'' d'' g'8. a'32 cis'' a'4} \new Voice {\voiceTwo d'16 fis' e' fis' e'8. fis'32 g' fis'4}>>}","d8 d8 d8 d8 d8. e16","fis'16\staccato d''16 (cis''16 d''16) g'8. (a'32 b'32) a'4","fis'16 fis' e' fis' e'8. fis'32 g'32 fis'4"
"111","e'16 gis' b' gis' {<<{\voiceOne e'8 \tuplet 3/2{d''16 e'' fis''} e''8 d''} \new Voice {\voiceTwo e'8 \tuplet 3/2{b'16 cis'' d''} cis''8 b'}>>}","gis4 gis4 gis4","e'16 gis'16 b'16 gis'16 e'8 \tuplet 3/2{d''16 e'' fis''} e''8 d''8","r4 e'8  \tuplet 3/2{b'16 cis'' d''} cis''8 b'"
"112","e'8 g'16 e' a8 g'16 b'16 a' g' fis' e'","cis4 cis4 cis4","e'8 g'16 e'16 a8 g'16 b'16 a'16 g'16 fis'16 e'16","r2."
"113","{<<{\voiceOne fis'8 a'' a''16 g'' fis'' e'' \grace e''8 fis''4} \new Voice {\voiceTwo d'8 fis'' fis''16 e'' d'' cis'' \grace cis''8 d''4}>>}","r8 d'8 g8 a8 d4","fis'8 a''8 a''16 (g''16) fis''16 (e''16) \grace e''8 fis''4","d'8 fis'' fis''16 (e'') d'' (cis'')  \grace cis''8 d''4"
"114","d''4 {<<{\voiceOne fis'16\trill e' fis' g' a'4} \new Voice {\voiceTwo d'8. e'16 fis'4}>>}","d8 d,8 r8 d8 d,8 d8","d''4 fis'16\trill (e'16 fis'16) g'16 a'4","fis'4 d'16 (cis') d' e' \staccato fis'4"
"115","{<<{\voiceOne fis''8 a''16 cis'' \grace cis''8 d''2} \new Voice {\voiceTwo d''8. g'16 \grace g'8 fis'2}>>}","d4. a,8 d,4","fis''8\trill a''16 cis''16 \grace cis''8 d''2","d''16 a' fis' e'  \grace e'8 fis'2"
"116","e'16 a' cis'' e'' e'' d'' cis'' b' {<<{\voiceOne a'8. g'16} \new Voice {\voiceTwo e'4}>>}","cis4 a,4 cis4","e'16 (a'16 cis''16) e''16\staccato e''16 (d''16) cis''16\staccato b'16\staccato a'8. g'16","e'4 cis'4 e'4"
"117","e'16 gis' b' e'' e''4. gis'8","r8 e8 gis8 b8 e'8 d'8","e'16 (gis'16) b'16\staccato e''16\staccato e''4. gis'8","r2."
"118","{<<{\voiceOne fis'8 fis'' fis'' e'' e'' d''} \new Voice {\voiceTwo d'8 a' a' g' g' fis'}>>}","d4 d4 d4","fis'8 fis''8 fis''8\trill e''8 e''8\trill d''8","d'8 a' a' \trill (g') g' \trill (fis')"
"119","e'16 gis' b' e'' gis'' b'' gis'' e'' b' gis' e' gis'","r8 d'8 d'8 d'8 d'8 d'8","e'16 gis'16 b'16 e''16 gis''16 b''16 gis''16 e''16 b'16 gis'16 e'16 gis'16","r2."
"120","d'8 d''4 fis''16 d'' a'8 fis'","r8 fis16 e16 fis8 d8 c'8 c'8","d'8 d''4 fis''16 d''16 a'8 fis'8","r2."
"121","a'16 a cis' e' a' cis'' e'' a'' a'4","cis'8 a8 r8 a,8 cis8 a,8","a'16 a16 cis'16 e'16 a'16 cis''16 e''16 a''16 a'4","r4 a'8 cis' e' cis'"
"122","{<<{\voiceOne cis''16 e'' e' gis' \grace gis'8 a'2} \new Voice {\voiceTwo r8. d'16 \grace d'8 cis'2}>>}","a4. e8 a,4","cis''16 (e''16) e'16\staccato gis'16\staccato \grace gis'8 a'2","a'16 (e') cis' b  \grace b8 cis'2"
"123","d'8 a4 b16 cis' d'8 fis'","d4 fis4 d4","d'8 a4 b16 cis'16 d'8 fis'8","r2 d'8 d'"
"124","{<<{\voiceOne fis'8 fis''8 (fis''16) a'' g'' b'' a''4} \new Voice {\voiceTwo d'8 d'' d''16 fis'' e'' g'' fis''4}>>}","d4 d4 d8. e16","fis'8 fis''8 (fis''16) a''16 g''16 b''16 a''4","d'8 d'' (d''16) fis'' e'' g'' fis''4"
"125","a'16 cis'' e'' a'' cis''' a'' e'' cis'' a' e' cis' a","cis'8 a8 r8 a,8 cis8 a,8","a'16 cis''16 e''16 a''16 cis'''16 a''16 e''16 cis''16 a'16 e'16 cis'16 a16","r2."
"126","{<<{\voiceOne fis'16 d'' cis'' d'' e'8. fis'32 g' \grace g'8 fis'4} \new Voice {\voiceTwo d'16 fis' e' fis' cis'8. d'32 e' \grace e'8 d'4}>>}","d4 d4 d4","fis'16 d''16 (cis''16 d''16) e'8. fis'32 g'32 \grace g'8 fis'4","fis'16 fis' e' fis' cis'8. d'32 e'  \grace e'8 d'4"
"127","{<<{\voiceOne fis''16 b'' a'' cis'' \grace cis''8 d''2} \new Voice {\voiceTwo r8. g'16 \grace g'8 fis'2}>>}","d4. a,8 d,4","fis''16 b''16 a''16 cis''16 \grace cis''8 d''2","d''16 g' fis' e'  \grace e'8 fis'2"
"128","{<<{\voiceOne fis'8 a'' g'' fis'' e'' d''} \new Voice {\voiceTwo fis'8 fis'' e'' a' g' fis'}>>}","d4 d4 d8. e16","fis'8 a''8 g''8\trill fis''8 e''8\trill d''8","d'8 fis' e' a' g' \trill fis'"
"129","{<<{\voiceOne d'8 fis''8 fis''16\trill e'' fis'' g'' \grace g''8 e''4} \new Voice {\voiceTwo d'8 d'' d''8. e''16 \grace d''8 cis''4}>>}","r8 d8 d8 d8 a8 a,8","fis'8 fis''8 fis''16\trill e''16 fis''16 g''16 \grace fis''8 e''4","d'8 d'' d''16 \trill cis'' d'' e''  \grace d''8 cis''4"
"130","e'8 e''4 gis''16 e'' b'8 g'","r8 gis16 fis16 gis8 e8 d'8 d'8","e'8 e''4 gis''16 e''16 b'8 gis'8","r2."
"131","d'8 d'' d''16 cis'' d'' e'' d'' a' fis' d'","d4 fis4 d4","d'8 d''8 d''16 cis''16 d''16 e''16 d''16 a'16 fis'16 d'16","fis'4 a' fis'"
"132","a'16 cis'' e'8 (e'16) a'16 cis'8 (cis'16) e'16 a8","cis'8. b16 cis'8 a8 a,8 a8","a'16 cis''16 e'8 (e'16) a'16 cis'8 (cis'16) e'16 a8","r2."
"133","d'16 fis' a' d'' fis'' a'' fis'' d'' a' fis' d' fis'","r8 c'8 c'8 c'8 c'8 c'8","d'16 fis'16 a'16 d''16 fis''16 a''16 fis''16 d''16 a'16 fis'16 d'16 fis'16","r2."
"134","{<<{\voiceOne cis''16 fis'' e'' gis' \grace gis'8 a'2} \new Voice {\voiceTwo r8. d'16 \grace d'8 cis'2}>>}","a4. e8 a,4","cis''16 fis''16 e''16 gis'16 \grace gis'8 a'2","a'16 d' cis' b  \grace b8 cis'2"
"135","e'16 gis' b' e'' gis'' b'' gis'' e'' e' gis' b' d''","gis4 e4 gis4","e'16 gis'16 b'16 e''16 gis''16 b''16 gis''16 e''16 e'16 gis'16 b'16 e''16","r2 e'16 gis' b' b'"
"136","d'16 fis' e'\trill d' a' fis' e'\trill d' d'' fis' e'\trill d'","r8 c'8 c'4 c'4","d'16 fis'16 e'16\trill d'16 a'16 fis'16 e'16\trill d'16 d''16 fis'16 e'16\trill d'16","r2."
"137","{<<{\voiceOne fis'8 fis'' e''\trill d'' cis'' d''} \new Voice {\voiceTwo d'8 a' g' fis' e' fis'}>>}","d4 d4 d4","fis'8 fis''8 e''8\trill d''8 cis''8 d''8","d'8 a' g' \trill fis' e' fis'"
"138","d'8 d''4 a'16 fis' d'8 fis'","d4 d4 d4","d'8 d''4 a'16 fis'16 d'8 fis'8","r2 d'8 d'"
"139","a'16 cis'' e'' a'' a''8 e'' cis'' a'","cis'8 a8 cis'8 e'8 cis'8 a8","a'16 cis''16 e''16 a''16 a''8 e''8 cis''8 a'8","r2."
"140","a'16 cis'' e'' a'' {<<{\voiceOne a'16 cis'' e'' a'' \grace e''8 d''4} \new Voice {\voiceTwo r8 cis''8 \grace cis''8 b'4}>>}","r8 a8 a,8 a8 b,16 d16 fis16 b16","a'16 cis''16 e''16 a''16 a'16 cis''16 e''16 a''16 \grace e''8 d''4","a'8 cis'' r8 cis''  \grace cis''8 b'4"
"141","d''8 fis''16 d'' b' b'' g'' e'' a' cis'' e'' <e'' g''>","fis4 g4 cis4","d''8 fis''16 d''16 b'16 b''16 g''16 e''16 a'16 cis''16 e''16 g''16","a'4 d'8 b' e'8. e''16"
"142","{<<{\voiceOne fis''16 g'' a'' g'' fis''8 e'' e''4} \new Voice {\voiceTwo d''16 e'' fis'' e'' d''8 cis'' cis''4}>>}","r4 d4 a4","fis''16 g''16 a''16 g''16 fis''8\trill e''8 e''4","d''16 e'' fis'' e'' d''8 \trill cis'' cis''4"
"143","fis'16 a' d'' fis'' e'' d'' cis'' d'' d'4","d4 d4 d4","fis'16 a'16 d''16 fis''16 e''16 d''16 cis''16 d''16 d'4","d'8 fis'16 a' g' fis' e' fis' fis'4"
"144","d'8 fis'16 d' a8 fis'16 a'' g' fis' e' d'","d4 d4 d4","d'8 fis'16 d'16 a8 fis'16 a'16 g'16 fis'16 e'16 d'16","r2."
"145","{<<{\voiceOne cis''8\trill e''16 gis' \grace gis'8 a'2} \new Voice {\voiceTwo r8. d'16 \grace d'8 cis'2}>>}","a4. e8 a,4","cis''8\trill e''16 gis'16 \grace gis'8 a'2","a'16 e' cis' b  \grace b8 cis'2"
"146","{<<{\voiceOne fis'8 d''8 (d''16) cis'' e'' g'' \grace g''8 fis''4} \new Voice {\voiceTwo d'8 fis' e' cis''16 e'' \grace e''8 d''4}>>}","d4 d4 d4","fis'8 d''8 (d''16) cis''16 e''16 g''16 \grace g''8 fis''4","d'8 fis'8 e' cis''16 e''  \grace e''8 d''4"
"147","a4 {<<{\voiceOne e'16\trill d' e' fis' g'4} \new Voice {\voiceTwo cis'8. d'16 e'4}>>}","cis8 a,8 r8 a8 a,8 a8","a4 e'16\trill (d'16 e'16) fis'16\staccato g'4","a4 cis'16 (b) cis' d' \staccato e'4"
"148","{<<{\voiceOne cis''16 a' b' gis' \grace gis'8 a'2} \new Voice {\voiceTwo r8. d'16 \grace d'8 cis'2}>>}","a4. e8 a,4","cis''16 (a'16) b'16\staccato gis'16\staccato \grace gis'8 a'2","a'16 (cis') d' \staccato b \staccato  \grace b8 cis'2"
"149","{<<{\voiceOne a''8. e''16 e''d'' e'' fis'' \grace e''8 d''4} \new Voice {\voiceTwo cis''8. cis''16 cis''16 b' cis'' d'' \grace cis''8 b'4}>>}","r8 a8 a8 a8 b8 b,8","a''8. e''16 e''16 (d''16 e''16) fis''16\staccato \grace e''8 d''4","cis''8. cis''16 cis'' (b' cis'') d'' \staccato  \grace cis''8 b'4"
"150","a'16 d'' cis'' d'' b' d'' cis'' d'' {<<{\voiceOne e'16 cis'' e'' g''} \new Voice {\voiceTwo cis'16 r8.}>>}","fis4 g4 a4","a'16\staccato d''16 (cis''16 d''16) b'16\staccato d''16 (cis''16 d''16) e'16 cis''16 e''16 g''16","a'4 g'16 fis' e' d' cis' a' cis'' e''"
"151","g'8 e''4 e'16 cis' a4","e4 a,4 cis4","g'8 e''4 e'16 cis'16 a4","r2."
"152","fis''16 d'' a' fis' {<<{\voiceOne d'8 a''16 fis'' \grace fis''8 e''4} \new Voice {\voiceTwo d'8. d''16 \grace d''8 cis''4}>>}","d4 d4 a4","fis''16 d''16 a'16 fis'16 d'8 a''16 fis''16 \grace fis''8 e''4","d''16 a' fis' a' d'8 fis''16 d''  \grace d''8 cis''4"
"153","e'8 a4 <a cis'>16 <b d'> <cis' e'>8 <e' g'>","a,4 cis4 a,4","e'8 a4 cis'16 d'16 e'8 g'8","cis'8 a4 a16 b cis'8 e'"
"154","{<<{\voiceOne fis''16 a'' a' cis'' \grace cis''8 d''2} \new Voice {\voiceTwo d''8. g'16 \grace g'8 fis'2}>>}","d4. a,8 d,4 ","fis''16 a''16 a'16 cis''16 \grace cis''8 d''2","d''16 fis'' a' g'  \grace g'8 fis'2"
